Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,7,0.61,0.01,0.40208987159779463
100% Corpus,7,0.61,0.31,0.3450800538652108
100% Corpus,7,0.61,0.61,0.31684961148409363
100% Corpus,7,0.61,0.9099999999999999,0.30601419805271257
100% Corpus,7,0.61,symmetric,0.3917785018888856
100% Corpus,7,0.9099999999999999,0.01,0.46339142974307784
100% Corpus,7,0.9099999999999999,0.31,0.35662698910048085
100% Corpus,7,0.9099999999999999,0.61,0.4435664320635765
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.4802688061256192
100% Corpus,7,0.9099999999999999,symmetric,0.40099639691645406
100% Corpus,7,symmetric,0.01,0.35411837890794384
100% Corpus,7,symmetric,0.31,0.3494309508292443
100% Corpus,7,symmetric,0.61,0.3370788378121565
100% Corpus,7,symmetric,0.9099999999999999,0.3531701604828243
100% Corpus,7,symmetric,symmetric,0.3543950172335259
100% Corpus,7,asymmetric,0.01,0.3676875771036966
100% Corpus,7,asymmetric,0.31,0.42669146667968805
100% Corpus,7,asymmetric,0.61,0.41567127049680697
100% Corpus,7,asymmetric,0.9099999999999999,0.42906627216643756
100% Corpus,7,asymmetric,symmetric,0.38305354819574805
100% Corpus,8,0.01,0.01,0.34446442743999695
100% Corpus,8,0.01,0.31,0.34188025589246407
100% Corpus,8,0.01,0.61,0.36874140574314035
100% Corpus,8,0.01,0.9099999999999999,0.3770798761915689
100% Corpus,8,0.01,symmetric,0.3398220322855938
100% Corpus,8,0.31,0.01,0.393083557755452
100% Corpus,8,0.31,0.31,0.33074824967347305
100% Corpus,8,0.31,0.61,0.32734283912261625
100% Corpus,8,0.31,0.9099999999999999,0.31051967569133476
100% Corpus,8,0.31,symmetric,0.3551242733869102
100% Corpus,8,0.61,0.01,0.39086324440508285
100% Corpus,8,0.61,0.31,0.3283546156341737
100% Corpus,8,0.61,0.61,0.3055008674649774
100% Corpus,8,0.61,0.9099999999999999,0.39656734743692695
100% Corpus,8,0.61,symmetric,0.3512618666173619
100% Corpus,8,0.9099999999999999,0.01,0.4690259959606916
100% Corpus,8,0.9099999999999999,0.31,0.3520524041037746
100% Corpus,8,0.9099999999999999,0.61,0.49177239978376563
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.4387615112065487
100% Corpus,8,0.9099999999999999,symmetric,0.40184678715480454
100% Corpus,8,symmetric,0.01,0.33910716396537893
100% Corpus,8,symmetric,0.31,0.3322528984054076
100% Corpus,8,symmetric,0.61,0.31700783661525356
100% Corpus,8,symmetric,0.9099999999999999,0.3256421969591806
100% Corpus,8,symmetric,symmetric,0.32885758741666493
100% Corpus,8,asymmetric,0.01,0.4029041999504034
100% Corpus,8,asymmetric,0.31,0.36489617420634657
100% Corpus,8,asymmetric,0.61,0.42904394123856016
100% Corpus,8,asymmetric,0.9099999999999999,0.4122099895769793
100% Corpus,8,asymmetric,symmetric,0.39113203341577185
100% Corpus,9,0.01,0.01,0.39281160690806805
100% Corpus,9,0.01,0.31,0.34354009159780635
100% Corpus,9,0.01,0.61,0.3565516325945567
100% Corpus,9,0.01,0.9099999999999999,0.32171752013570687
100% Corpus,9,0.01,symmetric,0.3604267094400393
100% Corpus,9,0.31,0.01,0.3933204375709986
100% Corpus,9,0.31,0.31,0.3836659177362809
